tanggal,jakarta_pusat,jakarta_selatan,jakarta_barat
2020-03-25,22,104,90
2020-03-26,22,107,98
2020-03-27,52,237,211
2020-03-28,27,130,108
2020-03-29,95,420,342
2020-03-30,70,311,255
2020-03-31,45,174,139
2020-04-01,47,175,139
2020-04-02,106,358,284
2020-04-03,59,188,159
2020-04-04,124,394,334
2020-04-05,141,434,348
2020-04-06,152,468,384
2020-04-07,82,246,200
2020-04-08,89,256,212
2020-04-09,103,271,221
2020-04-10,111,299,230
2020-04-11,131,313,235
2020-04-12,156,321,251
2020-04-13,168,333,259
2020-04-14,176,355,269
2020-04-15,207,359,278
2020-04-16,244,377,295
2020-04-17,283,397,315
2020-04-18,281,430,346
2020-04-19,289,429,369
2020-04-20,321,445,388
2020-04-21,330,475,400
2020-04-22,355,501,436
2020-04-23,388,524,452
2020-04-24,441,536,488
2020-04-25,468,560,508
2020-04-26,490,573,523
2020-04-27,508,591,541
2020-04-28,538,599,558
2020-04-29,560,629,574
2020-04-30,581,638,607
2020-05-01,601,666,632
2020-05-02,615,688,652
2020-05-03,633,702,673
2020-05-04,645,713,691
2020-05-05,650,726,710
2020-05-06,652,727,718
2020-05-07,678,725,724
2020-05-08,701,739,745
2020-05-09,706,744,747
2020-05-10,735,758,792
2020-05-11,747,761,804
2020-05-12,754,769,814
2020-05-13,784,790,838
2020-05-14,804,801,876
2020-05-15,811,813,902
2020-05-16,823,828,934
2020-05-17,840,831,941
2020-05-18,849,835,957
2020-05-19,863,843,980
2020-05-20,870,847,985
2020-05-21,883,849,1003
2020-05-22,887,852,1022
2020-05-23,910,865,1033
2020-05-24,916,866,1058
2020-05-25,919,871,1060
2020-05-26,921,873,1081
2020-05-27,915,879,1089
2020-05-28,922,888,1122
2020-05-29,928,892,1127
2020-05-30,946,903,1133
2020-05-31,965,911,1147
2020-06-01,980,925,1170
2020-06-02,994,930,1178
2020-06-03,1011,948,1194
2020-06-04,1042,956,1212
2020-06-05,1067,961,1214
2020-06-06,1075,980,1257
2020-06-07,1084,979,1265
2020-06-08,1097,980,1277
2020-06-09,1093,989,1294
2020-06-10,1149,1007,1300
2020-06-11,1172,1023,1308
2020-06-12,1189,1048,1338
2020-06-13,1213,1052,1337
2020-06-14,1215,1057,1341
2020-06-15,1218,1061,1353
2020-06-16,1260,1083,1367
2020-06-17,1290,1131,1430
2020-06-18,1333,1142,1450
2020-06-19,1381,1156,1457
2020-06-20,1405,1184,1479
2020-06-21,1472,1185,1493
2020-06-22,1495,1203,1502
2020-06-23,1522,1212,1514
2020-06-24,1533,1217,1555
2020-06-25,1561,1242,1607
2020-06-26,1586,1264,1665
